route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,1,ROUTE 1,,3,,FFFFFF,0
100X,100X,ROUTE 100X,,3,,FFFFFF,0
11,11,ROUTE 11,,3,,FFFFFF,0
14,14,ROUTE 14,,3,,FFFFFF,0
15,15,ROUTE 15,,3,,FFFFFF,0
18,18,ROUTE 18,,3,,FFFFFF,0
19,19,ROUTE 19,,3,,FFFFFF,0
20,20,ROUTE 20,,3,,FFFFFF,0
23,23,ROUTE 23,,3,,FFFFFF,0
30,30,ROUTE 30,,3,,FFFFFF,0
300X,300X,ROUTE 300X,,3,,FFFFFF,0
32,32,ROUTE 32,,3,,FFFFFF,0
38,38,ROUTE 38,,3,,FFFFFF,0
4,4,ROUTE 4,,3,,FFFFFF,0
5,5,ROUTE 5,,3,,FFFFFF,0
52,52,ROUTE 52,,3,,FFFFFF,0
58,58,ROUTE 58,,3,,FFFFFF,0
59,59,ROUTE 59,,3,,FFFFFF,0
60,60,ROUTE 60,,3,,FFFFFF,0
61,61,ROUTE 61,,3,,FFFFFF,0
62,62,ROUTE 62,,3,,FFFFFF,0
66,66,ROUTE 66,,3,,FFFFFF,0
67,67,ROUTE 67,,3,,FFFFFF,0
68,68,ROUTE 68,,3,,FFFFFF,0
812,812,ROUTE 812,,3,,FFFFFF,0
813,813,ROUTE 813,,3,,FFFFFF,0
888,888,ROUTE 888,,3,,FFFFFF,0
777,777,ROUTE 777,,3,,FFFFFF,0
35,35,ROUTE 35,,3,,FFFFFF,0
355,355,ROUTE 355,,3,,FFFFFF,0
444,444,ROUTE 444,,3,,FFFFFF,0
811,811,ROUTE 811,,3,,FFFFFF,0
7,7,ROUTE 7,,3,,FFFFFF,0
73,73,ROUTE 73,,3,,FFFFFF,0
74,74,ROUTE 74,,3,,FFFFFF,0
75,75,ROUTE 75,,3,,FFFFFF,0
76,76,ROUTE 76,,3,,FFFFFF,0
78,78,ROUTE 78,,3,,FFFFFF,0
79,79,ROUTE 79,,3,,FFFFFF,0
90,90,ROUTE 90,,3,,FFFFFF,0
9444,9444,,,3,,FFFFFF,0
97,97,ROUTE 97,,3,,FFFFFF,0
98,98,ROUTE_98,,3,,FFFFFF,0
9999,9999,,,3,,FFFFFF,0
99999,99999,,,3,,FFFFFF,0
CAT,CAT,CENTRAL AVENUE TROLLEY,,3,,FFFFFF,0
DPC,DPC,DPC,,3,,FFFFFF,0
ELC,ELC,ELC,,3,,FFFFFF,0
OTC,OTC,OTC,,3,,FFFFFF,0
PPS,PPS,PINELLAS PARK SHUTTLE,,3,,FFFFFF,0
SBT,SBT,SUNCOAST BEACH TROLLEY,,3,,FFFFFF,0
