stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
2,1858,TYRONE BLVD N + 68TH ST,,27.79560,-82.73250,,
3,1675,22ND AVE N + 6498,,27.79157,-82.72627,,
4,1677,22ND AVE N + 6408,,27.79158,-82.72516,,
5,1679,22ND AVE N + OXFORD ST N,,27.79160,-82.71954,,
6,1683,22ND AVE N + NORFOLK ST N,,27.79161,-82.71769,,
7,1684,22ND AVE N + WINCHESTER RD N,,27.79160,-82.71470,,
8,1682,22ND AVE N + 58TH ST N,,27.79161,-82.71260,,
9,1687,22ND AVE N + 58TH ST N,,27.79166,-82.71185,,
10,1698,22ND AVE N + 56TH ST N,,27.79173,-82.71060,,
11,1695,22ND AVE N + 55TH ST N,,27.79174,-82.70807,,
12,1694,22ND AVE N + 54TH ST N,,27.79174,-82.70659,,
13,1691,22ND AVE N + 52ND ST N,,27.79175,-82.70390,,
14,1692,22ND AVE N + 51ST ST N,,27.79175,-82.70243,,
15,1693,22ND AVE N + 49TH ST N,,27.79171,-82.69963,,
16,1708,22ND AVE N + 47TH ST N,,27.79173,-82.69699,,
17,1700,22ND AVE N + 46TH ST N,,27.79173,-82.69556,,
18,1696,22ND AVE N + 43RD ST N,,27.79169,-82.69136,,
19,1712,22ND AVE N + 37TH ST N,,27.79177,-82.68313,,
20,1709,22ND AVE N + 35TH ST N,,27.79177,-82.68106,,
21,1705,22ND AVE N + 34TH ST N,,27.79177,-82.67865,,
22,1713,22ND AVE N + 31ST ST N,,27.79182,-82.67502,,
23,1717,22ND AVE N + 29TH ST N,,27.79185,-82.67297,,
24,1723,22ND AVE N + 28TH ST N,,27.79186,-82.67088,,
25,1726,22ND AVE N + 26TH ST N,,27.79186,-82.66897,,
26,1725,22ND AVE N + 25TH ST N,,27.79187,-82.66652,,
27,1733,22ND AVE N + 22ND ST N,,27.79188,-82.66364,,
28,1730,22ND AVE N + 19TH ST N,,27.79187,-82.65864,,
29,1751,22ND AVE N + 17TH ST N,,27.79194,-82.65659,,
30,1754,22ND AVE N + 16TH ST N,,27.79195,-82.65439,,
31,1757,22ND AVE N + 14TH ST N,,27.79198,-82.65257,,
32,1759,22ND AVE N + 12TH ST N,,27.79200,-82.65044,,
33,1762,22ND AVE N + 11TH ST N,,27.79200,-82.64940,,
34,1768,22ND AVE N + 10TH ST N,,27.79201,-82.64740,,
35,1763,22ND AVE N + DR MLK JR ST N,,27.79202,-82.64626,,
36,1767,22ND AVE N + 7TH ST N,,27.79204,-82.64223,,
37,1766,22ND AVE N + 4TH ST,,27.79205,-82.63972,,
38,6664,22ND AVE N + 2ND ST,,27.79210,-82.63613,,
39,1829,1ST ST NE + 24TH AVE NE,,27.79417,-82.63446,,
40,1862,1ST ST NE + 26TH AVE NE,,27.79607,-82.63441,,
41,1889,1ST ST NE + 28TH AVE NE,,27.79783,-82.63441,,
42,2011,1ST ST NE + 32ND AVE N,,27.80148,-82.63441,,
43,2035,1ST ST NE + 34TH AVE NE,,27.80336,-82.63438,,
44,2060,1ST ST NE + 35TH AVE NE,,27.80436,-82.63438,,
45,2076,1ST ST NE + 37TH AVE NE,,27.80575,-82.63438,,
46,2215,1ST ST NE + 38TH AVE NE,,27.80693,-82.63441,,
47,2269,1ST ST NE + 41ST AVE NE,,27.80912,-82.63438,,
48,2291,1ST ST NE + 42ND AVE NE,,27.81023,-82.63440,,
49,2306,1ST ST NE + 43RD AVE NE,,27.81170,-82.63441,,
50,2329,1ST ST NE + 45TH AVE N,,27.81347,-82.63441,,
51,2388,1ST ST NE + 47TH AVE NE,,27.81526,-82.63438,,
52,2412,1ST ST NE + 49TH AVE NE,,27.81688,-82.63440,,
53,2443,1ST ST NE + 53RD AVE N,,27.81936,-82.63445,,
54,2454,1ST ST NE + 54TH PL N,,27.82052,-82.63446,,
55,2528,1ST ST NE + 55TH AVE NE,,27.82236,-82.63446,,
56,2554,1ST ST NE + BARNARD PL N,,27.82405,-82.63446,,
57,2580,1ST ST NE + 58TH AVE NE,,27.82524,-82.63448,,
58,2609,1ST ST NE + DAVISON AVE NE,,27.82724,-82.63449,,
59,2676,1ST ST NE + DAVENPORT AVE NE,,27.82901,-82.63452,,
60,2706,1ST ST NE + PERSHING ST NE,,27.83160,-82.63454,,
61,2717,1ST ST NE + MOUNT CURVE AVE NE,,27.83240,-82.63456,,
62,2745,1ST ST NE + 70TH AVE N,,27.83522,-82.63456,,
63,2797,1ST ST NE + AMERICAN LN NE,,27.83672,-82.63454,,
64,2821,1ST ST NE + 7225,,27.83790,-82.63456,,
65,2920,1ST ST NE + 74TH AVE NE,,27.84005,-82.63459,,
66,2937,1ST ST NE + 76TH AVE NE,,27.84152,-82.63460,,
67,2985,78TH AVE N + LAKEBORO,,27.84297,-82.63721,,
68,2978,77TH AVE N + PALMWAY VILLAGE,,27.84314,-82.64096,,
69,2995,GATEWAY MALL - SHELTER - 1,,27.84310,-82.64441,,
70,3039,DR MARTIN LUTHER KING JR ST N + 79TH AVE N,,27.84479,-82.64681,,
71,3043,DR MARTIN LUTHER KING JR ST N + 8001,,27.84583,-82.64681,,
72,3056,DR MARTIN LUTHER KING JR ST N + 83RD AVE N,,27.84719,-82.64686,,
73,3073,83RD AVE N + 8TH ST N,,27.84742,-82.64568,,
74,7926,83RD AVE N + 7TH ST N,,27.84745,-82.64374,,
75,3072,83RD AVE N + 7TH WAY N,,27.84745,-82.64215,,
76,3071,83RD AVE N + 6TH ST N,,27.84744,-82.64123,,
77,3058,4TH ST N + 83RD AVE N,,27.84682,-82.63885,,
78,3045,4TH ST N + 81ST AVE N,,27.84573,-82.63885,,
79,2988,78TH AVE N + LAKEBORO,,27.84296,-82.63685,,
80,2955,1ST ST N + LAKEBORO,,27.84215,-82.63475,,
81,2912,1ST ST NE + 74TH AVE N,,27.83951,-82.63472,,
82,2814,1ST ST N + 72ND AVE N,,27.83724,-82.63472,,
83,2740,1ST ST N + 69TH AVE N,,27.83455,-82.63472,,
84,2711,1ST ST NE + WOODROW WILSON BLVD NE,,27.83188,-82.63468,,
85,2699,1ST ST NE + LINCOLN CIR NE,,27.83068,-82.63468,,
86,2681,1ST ST NE + 62ND AVE NE,,27.82919,-82.63468,,
87,2613,1ST ST NE + DAVISON AVE N,,27.82766,-82.63468,,
88,2586,1ST ST NE + 59TH AVE NE,,27.82565,-82.63465,,
89,2549,1ST ST NE + BARNARD PL N,,27.82361,-82.63465,,
90,2525,1ST ST NE + 55TH PL N,,27.82182,-82.63465,,
91,2446,1ST ST N + 53TH AVE N,,27.81921,-82.63464,,
92,2419,1ST ST NE + 49TH AVE NE,,27.81679,-82.63464,,
93,2394,1ST ST NE + 48TH AVE N,,27.81552,-82.63460,,
94,2385,1ST ST NE + 47TH AVE N,,27.81460,-82.63460,,
95,2322,1ST ST NE + 45TH AVE NE,,27.81276,-82.63459,,
96,2309,1ST ST NE + 44TH AVE N,,27.81179,-82.63459,,
97,2289,1ST ST NE + 42ND AVE N,,27.81006,-82.63459,,
98,2265,1ST ST NE + 38TH AVE N,,27.80882,-82.63459,,
99,2231,1ST ST NE + 39TH AVE NE,,27.80770,-82.63459,,
100,2234,1ST ST N + 37TH AVE N,,27.80545,-82.63456,,
101,2102,1ST ST NE + 35TH AVE N,,27.80357,-82.63456,,
102,2055,1ST ST NE + 31ND AVE N,,27.80055,-82.63452,,
103,1899,1ST ST NE + 29TH AVE N,,27.79864,-82.63452,,
104,1884,1ST ST NE + 27TH AVE N,,27.79782,-82.63449,,
105,1845,1ST ST NE + 26TH AVE N,,27.79557,-82.63448,,
106,1847,1ST ST NE + 24TH AVE N,,27.79380,-82.63446,,
107,1814,1ST ST NE + 23RD AVE N,,27.79288,-82.63446,,
108,6663,22ND AVE N + 2ND ST,,27.79219,-82.63510,,
109,1788,22ND AVE N + 4TH ST N,,27.79218,-82.63898,,
110,1789,22ND AVE N + 5TH ST N,,27.79218,-82.64096,,
111,1786,22ND AVE N + 7TH ST N,,27.79218,-82.64296,,
112,1784,22ND AVE N + 8TH ST N,,27.79218,-82.64554,,
113,1776,22ND AVE N + ML KING ST N,,27.79218,-82.64705,,
114,1777,22ND AVE N + 10TH ST N,,27.79217,-82.64802,,
115,1780,22ND AVE N + 11TH ST N,,27.79216,-82.65017,,
116,1778,22ND AVE N + 14TH ST N,,27.79214,-82.65306,,
117,1791,22ND AVE N + 16TH ST N,,27.79212,-82.65549,,
118,1764,22ND AVE N + 17TH ST N,,27.79210,-82.65730,,
119,1771,22ND AVE N + 19TH ST N,,27.79214,-82.65878,,
120,1732,22ND AVE N + 22ND ST N,,27.79210,-82.66355,,
121,1773,22ND AVE N + 24TH ST N,,27.79208,-82.66638,,
122,1769,22ND AVE N + 25TH ST N,,27.79207,-82.66762,,
123,1765,22ND AVE N + 26TH ST N,,27.79206,-82.66954,,
124,1775,22ND AVE N + 2811,,27.79206,-82.67188,,
125,1770,22ND AVE N + 29TH ST N,,27.79203,-82.67372,,
126,1758,22ND AVE N + 32ND ST N,,27.79199,-82.67774,,
127,1755,22ND AVE N + 34TH ST N,,27.79200,-82.68014,,
