route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
74,59,1106645060,INDIAN ROCKS SHOPPING CTR,1,15914206,74:51
74,246,1106646020,INDIAN ROCKS SHOPPING CTR,1,15914202,74:51
74,59,1106646060,INDIAN ROCKS SHOPPING CTR,1,15914206,74:51
74,246,1106647020,INDIAN ROCKS SHOPPING CTR,1,15913802,74:51
74,59,1106647060,INDIAN ROCKS SHOPPING CTR,1,15913806,74:51
74,246,1106648020,INDIAN ROCKS SHOPPING CTR,1,15913602,74:51
74,59,1106648060,INDIAN ROCKS SHOPPING CTR,1,15913606,74:51
74,246,1106649020,INDIAN ROCKS SHOPPING CTR,1,15913702,74:51
74,59,1106649060,INDIAN ROCKS SHOPPING CTR,1,15913706,74:51
74,246,1106650020,INDIAN ROCKS SHOPPING CTR,1,15914102,74:51
74,59,1106650060,INDIAN ROCKS SHOPPING CTR,1,15914106,74:51
74,246,1106651020,INDIAN ROCKS SHOPPING CTR,1,15913102,74:51
74,59,1106651060,INDIAN ROCKS SHOPPING CTR,1,15913106,74:51
74,246,1106652020,INDIAN ROCKS SHOPPING CTR,1,15913802,74:51
74,59,1106652060,INDIAN ROCKS SHOPPING CTR,1,15913806,74:51
74,246,1106653020,INDIAN ROCKS SHOPPING CTR,1,15913002,74:51
74,59,1106653060,INDIAN ROCKS SHOPPING CTR,1,15913006,74:51
74,246,1106654020,INDIAN ROCKS SHOPPING CTR,1,15913702,74:51
74,59,1106654060,INDIAN ROCKS SHOPPING CTR,1,15913706,74:51
58,246,1106657020,SEMINOLE MALL,1,15913702,58:51
58,59,1106657060,SEMINOLE MALL,1,15913706,58:51
74,246,1106658020,GATEWAY MALL,0,15913902,74:03
74,59,1106658060,GATEWAY MALL,0,15913906,74:03
74,246,1106659020,INDIAN ROCKS SHOPPING CTR,1,15913602,74:53
74,59,1106659060,INDIAN ROCKS SHOPPING CTR,1,15913606,74:53
74,246,1106660020,INDIAN ROCKS SHOPPING CTR,1,15913102,74:53
74,59,1106660060,INDIAN ROCKS SHOPPING CTR,1,15913106,74:53
74,246,1106661020,INDIAN ROCKS SHOPPING CTR,1,15913502,74:51
74,59,1106661060,INDIAN ROCKS SHOPPING CTR,1,15913506,74:51
74,246,1106662020,INDIAN ROCKS SHOPPING CTR,1,15913802,74:51
74,59,1106662060,INDIAN ROCKS SHOPPING CTR,1,15913806,74:51
74,246,1106665020,WILLIAMS PARK,0,15914102,74:01
74,59,1106665060,WILLIAMS PARK,0,15914106,74:01
74,246,1106666020,WILLIAMS PARK,0,15913602,74:01
74,59,1106666060,WILLIAMS PARK,0,15913606,74:01
812,246,1106667020,COUNTRYSIDE OLDSMAR TAMPA CONNECTOR,0,15914502,812:03
812,59,1106667060,COUNTRYSIDE OLDSMAR TAMPA CONNECTOR,0,15914506,812:03
812,246,1106668020,COUNTRYSIDE OLDSMAR TAMPA CONNECTOR,0,15914702,812:03
812,59,1106668060,COUNTRYSIDE OLDSMAR TAMPA CONNECTOR,0,15914706,812:03
812,246,1106669020,COUNTRYSIDE OLDSMAR TAMPA CONNECTOR,0,15914402,812:03
812,59,1106669060,COUNTRYSIDE OLDSMAR TAMPA CONNECTOR,0,15914406,812:03
812,246,1106670020,COUNTRYSIDE OLDSMAR TAMPA CONNECTOR,0,15914602,812:03
812,59,1106670060,COUNTRYSIDE OLDSMAR TAMPA CONNECTOR,0,15914606,812:03
812,246,1106671020,COUNTRYSIDE OLDSMAR TAMPA CONNECTOR,0,15914802,812:03
812,59,1106671060,COUNTRYSIDE OLDSMAR TAMPA CONNECTOR,0,15914806,812:03
812,246,1106672020,COUNTRYSIDE OLDSMAR TAMPA CONNECTOR,0,15914502,812:03
812,59,1106672060,COUNTRYSIDE OLDSMAR TAMPA CONNECTOR,0,15914506,812:03
812,246,1106673020,COUNTRYSIDE OLDSMAR TAMPA CONNECTOR,0,15914702,812:03
