trip_id,arrival_time,departure_time,stop_id,stop_sequence
1,07:00:00,07:00:00,401,1
1,07:01:04,07:01:04,414,2
1,07:01:38,07:01:38,330,3
1,07:02:15,07:02:15,328,4
1,07:02:56,07:02:56,326,5
1,07:03:38,07:03:38,226,6
1,07:04:04,07:04:04,222,7
1,07:04:32,07:04:32,230,8
1,07:05:38,07:05:38,214,9
1,07:06:44,07:06:44,204,10
1,07:07:48,07:07:48,102,11
1,07:07:56,07:07:56,101,12
1,07:09:20,07:09:20,108,13
1,07:09:52,07:09:52,110,14
1,07:11:01,07:11:01,166,15
1,07:11:49,07:11:49,162,16
1,07:12:34,07:12:34,158,17
1,07:13:41,07:13:41,154,18
1,07:14:34,07:14:34,150,19
1,07:16:07,07:16:07,446,20
1,07:16:53,07:16:53,432,21
1,07:17:21,07:17:21,430,22
1,07:17:59,07:17:59,426,23
1,07:18:43,07:18:43,418,24
1,07:19:53,07:19:53,401,25
2,07:00:00,07:00:00,401,1
2,07:01:04,07:01:04,414,2
2,07:01:38,07:01:38,330,3
2,07:02:15,07:02:15,328,4
2,07:02:56,07:02:56,326,5
2,07:03:38,07:03:38,226,6
2,07:04:04,07:04:04,222,7
2,07:04:32,07:04:32,230,8
2,07:05:38,07:05:38,214,9
2,07:06:44,07:06:44,204,10
2,07:07:48,07:07:48,102,11
2,07:07:56,07:07:56,101,12
2,07:09:20,07:09:20,108,13
2,07:09:52,07:09:52,110,14
2,07:11:01,07:11:01,166,15
2,07:11:49,07:11:49,162,16
2,07:12:34,07:12:34,158,17
2,07:13:41,07:13:41,154,18
2,07:14:34,07:14:34,150,19
2,07:16:07,07:16:07,446,20
2,07:16:53,07:16:53,432,21
2,07:17:21,07:17:21,430,22
2,07:17:59,07:17:59,426,23
2,07:18:43,07:18:43,418,24
2,07:19:53,07:19:53,401,25
3,07:00:00,07:00:00,401,1
3,07:01:04,07:01:04,414,2
3,07:01:38,07:01:38,330,3
3,07:02:15,07:02:15,328,4
3,07:02:56,07:02:56,326,5
3,07:03:25,07:03:25,312,6
3,07:03:59,07:03:59,314,7
3,07:05:08,07:05:08,317,8
3,07:06:03,07:06:03,340,9
3,07:06:21,07:06:21,342,10
3,07:06:39,07:06:39,344,11
3,07:07:21,07:07:21,346,12
3,07:09:05,07:09:05,311,13
3,07:09:31,07:09:31,305,14
3,07:10:06,07:10:06,303,15
3,07:10:39,07:10:39,301,16
3,07:11:39,07:11:39,401,17
4,07:00:00,07:00:00,401,1
4,07:01:04,07:01:04,414,2
4,07:01:38,07:01:38,330,3
4,07:02:15,07:02:15,328,4
4,07:02:56,07:02:56,326,5
4,07:03:25,07:03:25,312,6
4,07:03:59,07:03:59,314,7
4,07:05:08,07:05:08,317,8
4,07:06:03,07:06:03,340,9
4,07:06:21,07:06:21,342,10
4,07:06:39,07:06:39,344,11
4,07:07:21,07:07:21,346,12
4,07:09:05,07:09:05,311,13
4,07:09:31,07:09:31,305,14
4,07:10:06,07:10:06,303,15
4,07:10:39,07:10:39,301,16
4,07:11:39,07:11:39,401,17
5,07:00:00,07:00:00,401,1
5,07:00:55,07:00:55,421,2
5,07:01:30,07:01:30,425,3
5,07:01:58,07:01:58,115,4
5,07:03:20,07:03:20,119,5
5,07:03:46,07:03:46,121,6
5,07:04:29,07:04:29,125,7
5,07:04:55,07:04:55,129,8
5,07:06:13,07:06:13,102,9
5,07:06:21,07:06:21,101,10
5,07:07:58,07:07:58,126,11
5,07:08:37,07:08:37,122,12
5,07:09:02,07:09:02,120,13
5,07:10:22,07:10:22,116,14
5,07:11:04,07:11:04,426,15
5,07:11:48,07:11:48,418,16
5,07:12:24,07:12:24,414,17
5,07:14:40,07:14:40,801,18
5,07:15:39,07:15:39,803,19
5,07:16:26,07:16:26,807,20
5,07:17:45,07:17:45,813,21
5,07:18:11,07:18:11,815,22
5,07:19:07,07:19:07,821,23
5,07:19:54,07:19:54,827,24
5,07:21:24,07:21:24,829,25
5,07:22:58,07:22:58,411,26
5,07:24:00,07:24:00,401,27
6,07:00:00,07:00:00,401,1
6,07:00:55,07:00:55,421,2
6,07:01:30,07:01:30,425,3
6,07:01:58,07:01:58,115,4
6,07:03:20,07:03:20,119,5
6,07:03:46,07:03:46,121,6
6,07:04:29,07:04:29,125,7
6,07:04:55,07:04:55,129,8
6,07:06:13,07:06:13,102,9
6,07:06:21,07:06:21,101,10
6,07:07:58,07:07:58,126,11
6,07:08:37,07:08:37,122,12
6,07:09:02,07:09:02,120,13
6,07:10:22,07:10:22,116,14
6,07:11:04,07:11:04,426,15
6,07:11:48,07:11:48,418,16
6,07:12:24,07:12:24,414,17
6,07:14:40,07:14:40,801,18
6,07:15:39,07:15:39,803,19
6,07:16:26,07:16:26,807,20
6,07:17:45,07:17:45,813,21
6,07:18:11,07:18:11,815,22
6,07:19:07,07:19:07,821,23
6,07:19:54,07:19:54,827,24
6,07:21:24,07:21:24,829,25
